step,no_optimization,TF32,BF16,BF16+TC,BF16+TC+FA,BF16+TC+FA+FuOp,BF16+TC+FA+8bOp
190,227.49,176.49,131.07,105.67,87.3,84.52,89.1
191,226.29,176.48,130.63,105.74,87.42,84.35,85.49
192,224.97,176.55,131.08,105.1,87.08,84.47,85.37
193,224.33,176.44,131.13,106.26,87.17,84.63,85.53
194,223.85,177.32,130.98,106.41,86.94,84.01,87.0
195,222.32,177.26,131.32,106.09,87.27,84.26,86.24
196,221.4,177.31,131.1,105.39,86.86,84.1,89.11
197,222.31,177.09,130.87,105.96,87.31,83.92,87.03
198,220.96,176.13,131.48,105.25,86.74,84.14,85.42
199,220.93,177.27,131.06,105.97,87.68,84.35,86.23
